index,timestamp_sec,latitude,longitude,altitude
0,1729151669.0686677,52.467445399999995,12.958718099999999,84.926
1,1729151670.0347657,52.4674462,12.9587255,84.94200000000001
2,1729151671.281502,52.4674471,12.9587332,84.934
3,1729151672.6526365,52.467447799999995,12.9587411,84.96000000000001
4,1729151673.908663,52.467448499999996,12.9587489,84.94800000000001
5,1729151675.278372,52.4674495,12.9587569,84.965
6,1729151676.531429,52.4674504,12.9587647,84.944
7,1729151677.8983996,52.4674511,12.9587726,84.96000000000001
8,1729151679.154599,52.467451999999994,12.9587802,84.977
9,1729151680.4036617,52.467452599999994,12.958787599999999,84.97500000000001
10,1729151681.6545062,52.4674534,12.958795,84.979
11,1729151682.9080524,52.4674543,12.9588026,84.997
12,1729151684.281961,52.467455,12.9588105,85.022
13,1729151685.5284452,52.4674559,12.958818299999999,85.021
14,1729151686.776734,52.4674568,12.958825599999999,85.028
15,1729151688.0376656,52.467457499999995,12.958833,85.054
16,1729151689.2800953,52.467458199999996,12.9588404,85.074
17,1729151690.5242841,52.467459,12.958848,85.06700000000001
18,1729151691.7770615,52.4674597,12.9588554,85.084
19,1729151693.0339944,52.4674607,12.9588631,85.10000000000001
20,1729151694.280296,52.4674616,12.9588705,85.114
21,1729151695.5296845,52.4674623,12.9588779,85.122
22,1729151696.909714,52.4674628,12.9588857,85.149
23,1729151698.0311656,52.467463599999995,12.958893,85.141
24,1729151699.2777886,52.4674646,12.9589003,85.169
25,1729151700.5297449,52.4674656,12.9589079,85.16
26,1729151701.902371,52.4674663,12.9589159,85.178
27,1729151703.154524,52.4674669,12.9589234,85.20100000000001
28,1729151704.404653,52.4674676,12.958930899999999,85.211
29,1729151705.6549187,52.467468499999995,12.9589387,85.21000000000001
30,1729151707.0304842,52.4674696,12.958946599999999,85.21000000000001
31,1729151708.2770035,52.467470299999995,12.958953999999999,85.233
32,1729151709.5280344,52.467470899999995,12.958961599999999,85.242
33,1729151710.776965,52.4674717,12.958969,85.259
34,1729151712.0330353,52.4674726,12.958976499999999,85.253
35,1729151713.2798045,52.467473399999996,12.958983799999999,85.276
36,1729151714.6496987,52.4674744,12.9589915,85.302
37,1729151716.928111,52.4674748,12.959000399999999,85.34700000000001
38,1729151718.03951,52.4674748,12.959014499999999,85.403
39,1729151720.5274496,52.4674706,12.9590172,85.34100000000001
40,1729151722.2829714,52.4674662,12.959014499999999,85.312
41,1729151723.9032354,52.4674627,12.959009799999999,85.179
42,1729151725.1515355,52.467456,12.9590106,85.264
43,1729151726.907657,52.4674518,12.959007399999999,85.271
44,1729151728.776938,52.4674505,12.958999799999999,85.276
45,1729151730.032411,52.4674494,12.958992199999999,85.232
46,1729151731.4074917,52.4674488,12.958984099999999,85.196
47,1729151732.7702312,52.467448999999995,12.9589764,85.214
48,1729151734.0338533,52.467448399999995,12.9589685,85.196
49,1729151735.2765846,52.467447199999995,12.9589609,85.21600000000001
50,1729151736.524794,52.4674461,12.9589535,85.186
51,1729151737.7745028,52.467445399999995,12.958946099999999,85.181
52,1729151739.0280988,52.467444699999994,12.9589387,85.175
53,1729151740.2765007,52.467444199999996,12.9589311,85.183
54,1729151741.5234342,52.467443599999996,12.958923599999999,85.175
55,1729151742.778451,52.4674428,12.958915999999999,85.157
56,1729151744.0314598,52.4674416,12.958908599999999,85.161
57,1729151745.2774863,52.4674408,12.9589009,85.135
58,1729151746.6519816,52.4674402,12.958892899999999,85.114
59,1729151747.9029028,52.4674397,12.958885299999999,85.10300000000001
60,1729151749.1509564,52.4674389,12.9588775,85.09
61,1729151750.4014747,52.467437999999994,12.9588699,85.078
62,1729151751.7773151,52.467436899999996,12.958861899999999,85.068
63,1729151753.0287716,52.467436199999995,12.9588545,85.049
64,1729151754.3936324,52.467435599999995,12.958846099999999,85.019
